domain-box-office-hindi-raw-sentences-550-utf_1.utf8.cml.V.tkn.cml_updated.mo__1.0	(( राज कुमार गुप्ता की )) (( ' घनचक्कर ' में )) (( इमरान हाशमी )) (( और )) (( विद्या बालन के )) (( होने की वजह से )) (( उम्मीद )) (( थी )) (( कि )) (( धमाकेदार ओपनिंग )) (( मिलेगी । ))
domain-box-office-hindi-raw-sentences-550-utf_1.utf8.cml.V.tkn.cml_updated.mo__2.0	(( फिल्म ने )) (( पहले दिन )) (( 7 करोड़ से )) (( अधिक का )) (( व्यापार )) (( किया । ))
domain-box-office-hindi-raw-sentences-550-utf_1.utf8.cml.V.tkn.cml_updated.mo__2.1	(( फिल्म ने )) (( 7 करोड़ से )) (( अधिक का )) (( व्यापार )) (( पहले दिन )) (( किया । ))
domain-box-office-hindi-raw-sentences-550-utf_1.utf8.cml.V.tkn.cml_updated.mo__2.2	(( पहले दिन )) (( फिल्म ने )) (( 7 करोड़ से )) (( अधिक का )) (( व्यापार )) (( किया । ))
domain-box-office-hindi-raw-sentences-550-utf_1.utf8.cml.V.tkn.cml_updated.mo__2.3	(( पहले दिन )) (( 7 करोड़ से )) (( अधिक का )) (( व्यापार )) (( फिल्म ने )) (( किया । ))
domain-box-office-hindi-raw-sentences-550-utf_1.utf8.cml.V.tkn.cml_updated.mo__2.4	(( 7 करोड़ से )) (( अधिक का )) (( व्यापार )) (( फिल्म ने )) (( पहले दिन )) (( किया । ))
domain-box-office-hindi-raw-sentences-550-utf_1.utf8.cml.V.tkn.cml_updated.mo__2.5	(( 7 करोड़ से )) (( अधिक का )) (( व्यापार )) (( पहले दिन )) (( फिल्म ने )) (( किया । ))
domain-box-office-hindi-raw-sentences-550-utf_1.utf8.cml.V.tkn.cml_updated.mo__3.0	(( शुक्रवार )) (( और )) (( रविवार को )) (( थोड़े दर्शक )) (( बढ़े , )) (( लेकिन )) (( यह बढ़त भी )) (( उल्लेखनीय )) (( नहीं रही । ))
domain-box-office-hindi-raw-sentences-550-utf_1.utf8.cml.V.tkn.cml_updated.mo__3.1	(( शुक्रवार )) (( और )) (( रविवार को )) (( थोड़े दर्शक )) (( बढ़े , )) (( लेकिन )) (( उल्लेखनीय )) (( यह बढ़त भी )) (( नहीं रही । ))
domain-box-office-hindi-raw-sentences-550-utf_1.utf8.cml.V.tkn.cml_updated.mo__4.0	(( यह फिल्म )) (( बाक्स आफिस पर )) (( अपेक्षित छलांग )) (( नहीं मार सकी । ))
domain-box-office-hindi-raw-sentences-550-utf_1.utf8.cml.V.tkn.cml_updated.mo__4.1	(( यह फिल्म )) (( अपेक्षित छलांग )) (( बाक्स आफिस पर )) (( नहीं मार सकी । ))
